Sample,Label,Window,Difference
1,Still,0,0.03859499999999905
1,Still,1,0.03787699999999816
1,Still,2,0.037533499999998554
1,Still,3,0.03910899999999806
1,Still,4,0.039063999999999766
1,Still,5,0.04819849999999981
1,Still,6,0.03793899999999972
1,Still,7,0.039080000000000226
1,Still,8,0.05699500000000057
1,Still,9,0.03903600000000118
1,Still,10,0.04822699999999891
1,Still,11,0.03829500000000152
1,Still,12,0.047810000000001907
1,Still,13,0.04824199999999834
1,Still,14,0.03911899999999946
1,Still,15,0.03786200000000228
1,Still,16,0.03870599999999946
1,Still,17,0.02043600000000012
1,Still,18,0.038226999999997346
1,Still,19,0.037833000000000894
2,Still,0,0.8996670000000009
2,Still,1,0.43274850000000065
2,Still,2,0.3570689999999992
2,Still,3,0.626021999999999
2,Still,4,0.5412325000000013
2,Still,5,0.6873850000000008
2,Still,6,0.469538
2,Still,7,0.3556634999999986
2,Still,8,0.3318110000000001
2,Still,9,0.38687700000000014
2,Still,10,0.3364620000000009
2,Still,11,0.25911600000000057
2,Still,12,0.30634799999999807
2,Still,13,0.266744000000001
2,Still,14,0.3256589999999999
2,Still,15,0.3533260000000009
2,Still,16,0.3341429999999992
2,Still,17,0.47386500000000176
2,Still,18,0.3436880000000002
2,Still,19,0.3330719999999996
3,Still,0,0.03826449999999859
3,Still,1,0.048243000000001146
3,Still,2,0.02999200000000002
3,Still,3,0.0482504999999982
3,Still,4,0.03787899999999844
3,Still,5,0.05696900000000049
3,Still,6,0.03909699999999816
3,Still,7,0.03869700000000087
3,Still,8,0.038282999999999845
3,Still,9,0.029598000000000013
3,Still,10,0.038278999999999286
3,Still,11,0.049041499999999516
3,Still,12,0.037822000000000244
3,Still,13,0.05780899999999889
3,Still,14,0.039078499999998684
3,Still,15,0.03868399999999994
3,Still,16,0.029146000000000782
3,Still,17,0.03868399999999994
3,Still,18,0.05739200000000011
3,Still,19,0.04040100000000102
4,Still,0,3.2267659999999996
4,Still,1,0.8330070000000003
4,Still,2,0.6252434999999998
4,Still,3,0.6419599999999992
4,Still,4,0.3362929999999995
4,Still,5,0.3233240000000013
4,Still,6,0.42799299999999896
4,Still,7,0.3646779999999996
4,Still,8,0.5095749999999999
4,Still,9,0.7348844999999997
4,Still,10,0.29543100000000067
4,Still,11,0.8031829999999971
4,Still,12,0.5046069999999983
4,Still,13,0.7235440000000004
4,Still,14,0.5557229999999986
4,Still,15,0.714423
4,Still,16,0.5603259999999981
4,Still,17,0.30320700000000045
4,Still,18,0.34754599999999947
4,Still,19,0.23011400000000037
5,Walking,0,5.1469130000000005
5,Walking,1,5.689469700000001
5,Walking,2,6.2232264000000015
5,Walking,3,6.649588
5,Walking,4,7.4008667
5,Walking,5,6.586831999999999
5,Walking,6,6.458109000000001
5,Walking,7,5.890150999999999
5,Walking,8,5.795004700000002
5,Walking,9,4.821004599999998
5,Walking,10,5.861981299999999
5,Walking,11,5.6721324000000015
5,Walking,12,4.7890287
5,Walking,13,6.396476
5,Walking,14,11.0579836
5,Walking,15,7.982648799999999
5,Walking,16,11.559725400000001
5,Walking,17,6.5307949999999995
5,Walking,18,9.848079
5,Walking,19,3.9493665
6,Walking,0,5.327814999999998
6,Walking,1,9.359803000000001
6,Walking,2,4.575627400000001
6,Walking,3,8.481716999999996
6,Walking,4,5.387215400000001
6,Walking,5,7.559115
6,Walking,6,7.865922999999999
6,Walking,7,5.9501176000000005
6,Walking,8,6.536597000000001
6,Walking,9,6.315926000000001
6,Walking,10,4.076862999999999
6,Walking,11,6.320930000000002
6,Walking,12,8.220988
6,Walking,13,6.5804975
6,Walking,14,8.398745499999999
6,Walking,15,5.590813300000001
6,Walking,16,8.563727
6,Walking,17,3.8136590000000004
6,Walking,18,3.9645590000000013
6,Walking,19,4.537865999999999
7,Walking,0,6.6331669999999985
7,Walking,1,5.432727
7,Walking,2,8.3786235
7,Walking,3,4.9157356000000005
7,Walking,4,5.796809400000001
7,Walking,5,4.4961863
7,Walking,6,5.1334800000000005
7,Walking,7,4.745961300000001
7,Walking,8,6.3934285
7,Walking,9,2.627961000000001
7,Walking,10,6.367329999999998
7,Walking,11,4.105803999999999
7,Walking,12,5.0588964
7,Walking,13,5.284765
7,Walking,14,4.599295000000001
7,Walking,15,4.786039
7,Walking,16,4.907375999999999
7,Walking,17,4.5120640000000005
7,Walking,18,3.3673409999999997
7,Walking,19,3.3943710000000014
8,Walking,0,10.496087000000001
8,Walking,1,9.735751
8,Walking,2,6.700161000000001
8,Walking,3,4.065515999999999
8,Walking,4,5.098727500000001
8,Walking,5,5.940174499999999
8,Walking,6,8.4384725
8,Walking,7,4.156319300000001
8,Walking,8,7.089339400000002
8,Walking,9,5.123861000000001
8,Walking,10,6.392379500000001
8,Walking,11,5.632664299999999
8,Walking,12,5.848480600000002
8,Walking,13,5.924944
8,Walking,14,4.5138503
8,Walking,15,4.209711
8,Walking,16,4.867953000000002
8,Walking,17,5.327998600000002
8,Walking,18,3.946401
8,Walking,19,4.648743
9,Running,0,6.7028435
9,Running,1,19.5206863
9,Running,2,20.7798036
9,Running,3,20.3132616
9,Running,4,23.815800699999997
9,Running,5,19.804295999999997
9,Running,6,35.626647199999994
9,Running,7,19.3209436
9,Running,8,28.653529399999996
9,Running,9,17.027067
9,Running,10,19.6219254
9,Running,11,13.851033000000001
9,Running,12,14.0490827
9,Running,13,10.188413000000002
9,Running,14,5.6338518
9,Running,15,14.764138299999999
9,Running,16,25.9860814
9,Running,17,23.753815
9,Running,18,17.520070000000004
9,Running,19,14.234173299999998
10,Running,0,25.113619000000003
10,Running,1,23.4770048
10,Running,2,20.0613327
10,Running,3,15.331520600000001
10,Running,4,19.173299
10,Running,5,15.2802867
10,Running,6,12.409993400000001
10,Running,7,21.583599999999997
10,Running,8,15.9677937
10,Running,9,14.4513771
10,Running,10,16.009875800000003
10,Running,11,12.3373953
10,Running,12,12.228985
10,Running,13,20.438554
10,Running,14,17.919143000000002
10,Running,15,17.6704249
10,Running,16,20.2710086
10,Running,17,12.366443
10,Running,18,9.726531999999999
10,Running,19,16.798989
11,Running,0,14.722654
11,Running,1,14.076059999999998
11,Running,2,23.514123100000003
11,Running,3,16.12416
11,Running,4,26.10909
11,Running,5,17.8273005
11,Running,6,21.0179313
11,Running,7,23.757067999999997
11,Running,8,24.3624391
11,Running,9,28.199276599999997
11,Running,10,27.715828000000002
11,Running,11,25.0655097
11,Running,12,21.346094600000004
11,Running,13,25.1395763
11,Running,14,20.883910699999998
11,Running,15,13.7353034
11,Running,16,21.919025599999998
11,Running,17,22.7415084
11,Running,18,19.8924873
11,Running,19,24.240955999999997
12,Running,0,16.574748699999997
12,Running,1,20.9147286
12,Running,2,21.4902312
12,Running,3,19.172925
12,Running,4,26.9637003
12,Running,5,24.2200075
12,Running,6,40.245997800000005
12,Running,7,19.582719
12,Running,8,16.138405
12,Running,9,27.7528813
12,Running,10,26.7103007
12,Running,11,21.82484
12,Running,12,22.1944396
12,Running,13,22.774657899999998
12,Running,14,18.2729997
12,Running,15,32.120517799999995
12,Running,16,19.7675224
12,Running,17,38.921751
12,Running,18,19.481351
12,Running,19,22.687241000000004
